Label,Temperatura,Humedad,ResistenciaGas
Cafe espresso,30.7,36.53,48.7
Cafe espresso,30.7,36.53,48.75
Cafe espresso,30.7,36.55,49.29
Cafe espresso,30.71,36.57,49.46
Cafe espresso,30.71,36.59,49.46
Cafe espresso,30.71,36.61,49.52
Cafe espresso,30.7,36.62,49.6
Cafe espresso,30.71,36.62,49.75
Cafe espresso,30.71,36.61,49.4
Cafe espresso,30.71,36.59,49.4
Cafe espresso,30.71,36.56,48.42
Cafe espresso,30.7,36.52,45.96
Cafe espresso,30.71,36.42,45.52
Cafe espresso,30.71,36.31,46.16
Cafe espresso,30.7,36.2,46.21
Cafe espresso,30.7,36.18,46.56
Cafe espresso,30.71,36.23,47.74
Cafe espresso,30.71,36.3,47.93
Cafe espresso,30.71,36.37,48.04
Cafe espresso,30.71,36.42,47.64
Cafe espresso,30.71,36.41,46.11
Cafe espresso,30.71,36.35,45.28
Cafe espresso,30.7,36.3,44.99
Cafe espresso,30.71,36.3,45.33
Cafe espresso,30.71,36.35,46.46
Cafe espresso,30.71,36.44,48.64
Cafe espresso,30.71,36.55,49.2
Cafe espresso,30.71,36.58,49.32
Cafe espresso,30.71,36.52,46.31
Cafe espresso,30.71,36.39,43.57
Cafe espresso,30.71,36.28,43.57
Cafe espresso,30.71,36.26,44.24
Cafe espresso,30.72,36.3,45.57
Cafe espresso,30.72,36.39,47.69
Cafe espresso,30.72,36.49,49.12
Cafe espresso,30.72,36.57,49.49
Cafe espresso,30.72,36.6,49.46
Cafe espresso,30.72,36.55,49.12
Cafe espresso,30.72,36.54,49.4
Cafe espresso,30.72,36.54,49.69
Cafe espresso,30.72,36.57,50.19
Cafe espresso,30.72,36.63,50.81
Cafe espresso,30.73,36.7,51.12
Cafe espresso,30.72,36.75,51.15
Cafe espresso,30.73,36.75,50.48
Cafe espresso,30.73,36.67,48.23
Cafe espresso,30.72,36.52,44.8
Cafe espresso,30.72,36.38,42.65
Cafe espresso,30.72,36.29,43.21
Cafe espresso,30.73,36.3,44.29
Cafe espresso,30.73,36.37,45.91
Cafe espresso,30.73,36.46,48.42
Cafe espresso,30.73,36.56,49.32
Cafe espresso,30.73,36.63,50.27
Cafe espresso,30.73,36.62,50.39
Cafe espresso,30.72,36.58,50.13
Cafe espresso,30.72,36.57,49.95
Cafe espresso,30.72,36.57,50.69
Cafe espresso,30.73,36.63,51.43
Cafe espresso,30.73,36.68,51.4
Cafe espresso,30.73,36.68,49.72
Cafe espresso,30.73,36.61,48.34
Cafe espresso,30.73,36.52,48.2
Cafe espresso,30.73,36.48,48.15
Cafe espresso,30.73,36.48,48.92
Cafe espresso,30.73,36.51,49.54
Cafe espresso,30.73,36.55,49.83
Cafe espresso,30.73,36.57,49.81
Cafe espresso,30.73,36.57,50.01
Cafe espresso,30.73,36.5,49.86
Cafe espresso,30.72,36.4,49.69
Cafe espresso,30.72,36.33,49.75
Cafe espresso,30.72,36.36,50.19
Cafe espresso,30.73,36.4,50.45
Cafe espresso,30.73,36.47,50.66
Cafe espresso,30.72,36.48,50.87
Cafe espresso,30.73,36.44,50.87
Cafe espresso,30.72,36.39,51.03
Cafe espresso,30.72,36.33,50.22
Cafe espresso,30.72,36.31,50.54
Cafe espresso,30.72,36.34,50.42
Cafe espresso,30.72,36.39,50.3
Cafe espresso,30.72,36.47,50.45
Cafe espresso,30.72,36.48,50.13
Cafe espresso,30.72,36.47,50.22
Cafe espresso,30.72,36.45,50.27
Cafe espresso,30.72,36.45,50.1
Cafe espresso,30.72,36.45,50.63
Cafe espresso,30.72,36.52,51.24
Cafe espresso,30.72,36.58,51.86
Cafe espresso,30.72,36.61,51.77
Cafe espresso,30.72,36.56,51.03
Cafe espresso,30.72,36.46,49.92
Cafe espresso,30.72,36.37,50.33
Cafe espresso,30.72,36.38,50.72
Cafe espresso,30.72,36.4,50.39
Cafe espresso,30.72,36.44,50.22
Cafe espresso,30.72,36.49,50.16
Cafe espresso,30.72,36.49,50.13
Cafe espresso,30.72,36.44,50.19
Cafe espresso,30.72,36.34,49.46
Cafe espresso,30.71,36.28,49.46
Cafe espresso,30.71,36.27,49.52
Cafe espresso,30.72,36.31,49.37
Cafe espresso,30.72,36.36,49.29
Cafe espresso,30.72,36.41,49.2
Cafe espresso,30.72,36.44,49.52
Cafe espresso,30.72,36.42,49.75
Cafe espresso,30.72,36.38,49.98
Cafe espresso,30.71,36.33,50.19
Cafe espresso,30.72,36.33,50.22
Cafe espresso,30.72,36.36,50.84
Cafe espresso,30.72,36.41,51.09
Cafe espresso,30.72,36.48,51.83
Cafe espresso,30.72,36.55,52.37
Cafe espresso,30.72,36.6,52.63
Cafe espresso,30.72,36.6,51.74
Cafe espresso,30.72,36.55,50.22
Cafe espresso,30.72,36.52,49.78
Cafe espresso,30.73,36.53,50.75
Cafe espresso,30.73,36.58,51.86
Cafe espresso,30.73,36.64,53.02
Cafe espresso,30.73,36.68,53.39
Cafe espresso,30.73,36.66,53.56
Cafe espresso,30.73,36.61,52.96
Cafe espresso,30.73,36.56,53.32
Cafe espresso,30.73,36.58,53.62
Cafe espresso,30.73,36.61,54.24
Cafe espresso,30.74,36.65,55.36
Cafe espresso,30.74,36.7,54.76
Cafe espresso,30.74,36.74,54.94
Cafe espresso,30.74,36.79,55.47
Cafe espresso,30.74,36.83,56.57
Cafe espresso,30.74,36.86,57.18
Cafe espresso,30.74,36.89,57.92
Cafe espresso,30.74,36.92,58.92
Cafe espresso,30.74,36.93,58.2
Cafe espresso,30.74,36.88,57.49
Cafe espresso,30.74,36.82,56.46
Cafe espresso,30.74,36.79,55.94
Cafe espresso,30.73,36.75,55.65
Cafe espresso,30.73,36.74,55.47
Cafe espresso,30.73,36.75,55.26
Cafe espresso,30.73,36.73,54.97
Cafe espresso,30.73,36.69,54.9
Cafe espresso,30.73,36.6,54.06
Cafe espresso,30.73,36.57,53.89
Cafe espresso,30.73,36.56,54.0
Cafe espresso,30.73,36.59,53.52
Cafe espresso,30.73,36.61,53.39
Cafe espresso,30.73,36.62,53.39
Cafe espresso,30.73,36.57,53.16
Cafe espresso,30.73,36.54,52.5
Cafe espresso,30.73,36.5,52.89
Cafe espresso,30.73,36.5,52.83
Cafe espresso,30.73,36.51,52.96
Cafe espresso,30.73,36.54,52.79
Cafe espresso,30.73,36.55,51.64
Cafe espresso,30.73,36.53,51.49
Cafe espresso,30.73,36.52,51.52
Cafe espresso,30.73,36.52,52.05
Cafe espresso,30.73,36.55,52.6
Cafe espresso,30.73,36.57,52.7
Cafe espresso,30.72,36.57,51.77
Cafe espresso,30.72,36.51,50.97
Cafe espresso,30.72,36.45,50.16
Cafe espresso,30.72,36.42,50.72
Cafe espresso,30.72,36.44,50.94
Cafe espresso,30.72,36.45,51.24
Cafe espresso,30.72,36.47,51.43
Cafe espresso,30.72,36.47,51.3
Cafe espresso,30.72,36.44,51.15
Cafe espresso,30.72,36.44,51.24
Cafe espresso,30.72,36.44,51.68
Cafe espresso,30.72,36.43,51.4
Cafe espresso,30.72,36.41,51.61
Cafe espresso,30.72,36.39,51.24
Cafe espresso,30.71,36.39,51.27
Cafe espresso,30.71,36.38,50.97
Cafe espresso,30.71,36.37,50.48
Cafe espresso,30.71,36.36,49.89
Cafe espresso,30.71,36.35,50.6
Cafe espresso,30.71,36.34,50.84
Cafe espresso,30.71,36.33,50.54
Cafe espresso,30.71,36.28,50.16
Cafe espresso,30.71,36.21,49.03
Cafe espresso,30.71,36.19,49.26
Cafe espresso,30.7,36.19,49.06
Cafe espresso,30.71,36.22,48.92
Cafe espresso,30.71,36.26,49.46
Cafe espresso,30.71,36.29,49.78
Cafe espresso,30.71,36.31,49.83
Cafe espresso,30.71,36.33,49.17
Cafe espresso,30.71,36.35,49.32
Cafe espresso,30.71,36.35,49.32
Cafe espresso,30.71,36.38,49.06
Cafe espresso,30.71,36.4,49.34
Cafe espresso,30.71,36.41,49.81
Cafe espresso,30.72,36.45,50.45
Cafe espresso,30.71,36.47,51.12
Cafe espresso,30.72,36.5,51.58
Cafe espresso,30.71,36.5,51.21
Cafe espresso,30.72,36.45,50.81
Cafe espresso,30.71,36.38,50.04
Cafe espresso,30.71,36.36,50.07
Cafe espresso,30.71,36.36,49.6
Cafe espresso,30.71,36.36,49.43
Cafe espresso,30.72,36.34,48.42
Cafe espresso,30.72,36.32,48.04
Cafe espresso,30.71,36.32,47.96
Cafe espresso,30.71,36.33,48.12
Cafe espresso,30.71,36.36,48.86
Cafe espresso,30.72,36.39,48.92
Cafe espresso,30.72,36.41,48.78
Cafe espresso,30.72,36.44,48.7
Cafe espresso,30.72,36.47,49.81
Cafe espresso,30.72,36.48,50.19
Cafe espresso,30.72,36.51,50.45
Cafe espresso,30.72,36.54,51.06
Cafe espresso,30.73,36.56,51.12
Cafe espresso,30.73,36.57,51.06
Cafe espresso,30.73,36.55,51.06
Cafe espresso,30.73,36.55,51.18
Cafe espresso,30.73,36.57,51.33
Cafe espresso,30.72,36.54,50.42
Cafe espresso,30.72,36.48,49.0
Cafe espresso,30.72,36.38,47.96
Cafe espresso,30.72,36.32,48.28
Cafe espresso,30.72,36.31,48.92
Cafe espresso,30.72,36.29,49.09
Cafe espresso,30.72,36.31,49.63
Cafe espresso,30.72,36.33,49.92
Cafe espresso,30.72,36.36,50.19
Cafe espresso,30.72,36.38,50.22
Cafe espresso,30.72,36.41,50.3
Cafe espresso,30.72,36.4,50.42
Cafe espresso,30.72,36.38,51.12
Cafe espresso,30.72,36.39,51.21
Cafe espresso,30.72,36.37,50.66
Cafe espresso,30.73,36.38,51.21
Cafe espresso,30.73,36.44,50.81
Cafe espresso,30.73,36.45,49.34
Cafe espresso,30.73,36.43,46.46
Cafe espresso,30.73,36.37,44.11
Cafe espresso,30.73,36.28,42.23
Cafe espresso,30.73,36.19,41.86
Cafe espresso,30.73,36.17,42.87
Cafe espresso,30.73,36.23,44.57
Cafe espresso,30.73,36.31,46.01
Cafe espresso,30.74,36.4,47.96
Cafe espresso,30.73,36.45,48.7
Cafe espresso,30.73,36.47,48.45
Cafe espresso,30.73,36.48,48.2
Cafe espresso,30.73,36.47,48.39
Cafe espresso,30.73,36.47,48.75
Cafe espresso,30.73,36.48,49.29
Cafe espresso,30.73,36.48,48.7
Cafe espresso,30.73,36.46,46.16
Cafe espresso,30.73,36.4,45.62
Cafe espresso,30.73,36.34,45.52
Cafe espresso,30.73,36.32,45.96
Cafe espresso,30.73,36.34,47.66
Cafe espresso,30.73,36.37,48.09
Cafe espresso,30.73,36.4,48.17
Cafe espresso,30.73,36.42,49.03
Cafe espresso,30.73,36.43,50.1
Cafe espresso,30.73,36.45,50.9
Cafe espresso,30.73,36.45,51.06
Cafe espresso,30.73,36.41,50.63
Cafe espresso,30.73,36.39,50.45
Cafe espresso,30.73,36.42,50.45
Cafe espresso,30.72,36.42,50.94
Cafe espresso,30.72,36.42,50.9
Cafe espresso,30.72,36.41,51.27
Cafe espresso,30.72,36.42,51.68
Cafe espresso,30.72,36.44,52.09
Cafe espresso,30.72,36.46,52.44
Cafe espresso,30.72,36.44,50.45
Cafe espresso,30.72,36.38,48.95
Cafe espresso,30.72,36.32,48.47
Cafe espresso,30.72,36.31,49.06
Cafe espresso,30.72,36.33,49.49
Cafe espresso,30.72,36.34,49.2
Cafe espresso,30.72,36.32,48.64
Cafe espresso,30.72,36.31,48.7
Cafe espresso,30.72,36.34,48.61
Cafe espresso,30.72,36.33,49.03
Cafe espresso,30.72,36.33,49.23
Cafe espresso,30.72,36.36,49.4
Cafe espresso,30.72,36.36,49.37
Cafe espresso,30.72,36.38,48.72
Cafe espresso,30.72,36.33,47.93
Cafe espresso,30.72,36.3,47.74
Cafe espresso,30.72,36.3,47.77
Cafe espresso,30.72,36.26,47.69
Cafe espresso,30.71,36.22,46.26
Cafe espresso,30.71,36.17,46.01
Cafe espresso,30.71,36.18,46.36
Cafe espresso,30.71,36.2,46.61
Cafe espresso,30.71,36.23,46.46
Cafe espresso,30.71,36.28,46.61
Cafe espresso,30.72,36.28,46.31
Cafe espresso,30.71,36.29,48.09
Cafe espresso,30.72,36.35,49.23
Cafe espresso,30.72,36.39,49.69
Cafe espresso,30.71,36.42,49.63
Cafe espresso,30.71,36.44,49.52
Cafe espresso,30.71,36.43,48.98
Cafe espresso,30.72,36.42,48.56
Cafe espresso,30.72,36.4,49.09
Cafe espresso,30.72,36.41,49.34
Cafe espresso,30.72,36.43,50.04
Cafe espresso,30.72,36.45,50.19
Cafe espresso,30.71,36.45,50.1
Cafe espresso,30.71,36.45,50.01
Cafe espresso,30.72,36.45,50.63
Cafe espresso,30.72,36.44,50.45
Cafe espresso,30.72,36.45,50.81
Cafe espresso,30.72,36.43,49.29
Cafe espresso,30.72,36.36,46.46
Cafe espresso,30.71,36.29,45.81
Cafe espresso,30.71,36.25,45.91
Cafe espresso,30.71,36.25,46.77
Cafe espresso,30.72,36.27,47.99
Cafe espresso,30.72,36.29,48.95
Cafe espresso,30.71,36.28,49.2
Cafe espresso,30.71,36.25,49.81
Cafe espresso,30.71,36.19,49.54
Cafe espresso,30.71,36.18,49.0
Cafe espresso,30.71,36.17,48.56
Cafe espresso,30.71,36.19,47.72
Cafe espresso,30.7,36.23,48.28
Cafe espresso,30.71,36.28,47.8
Cafe espresso,30.71,36.33,48.56
Cafe espresso,30.71,36.34,49.2
Cafe espresso,30.71,36.3,48.81
Cafe espresso,30.7,36.26,48.47
Cafe espresso,30.71,36.24,48.64
Cafe espresso,30.71,36.27,48.95
Cafe espresso,30.71,36.31,49.26
Cafe espresso,30.71,36.36,49.72
Cafe espresso,30.71,36.38,49.69
Cafe espresso,30.71,36.37,49.12
Cafe espresso,30.71,36.33,48.26
