Label,Temperatura,Humedad,Presion,ResistenciaGas
Aire neutral,29.9,41.69,42949532.0,161.11
Aire neutral,29.89,41.68,42949532.0,161.87
Aire neutral,29.88,41.67,42949532.0,161.72
Aire neutral,29.87,41.67,42949532.0,162.02
Aire neutral,29.86,41.66,42949532.0,162.18
Aire neutral,29.85,41.66,42949532.0,162.02
Aire neutral,29.84,41.66,42949532.0,161.87
Aire neutral,29.83,41.66,42949532.0,161.57
Aire neutral,29.84,41.67,42949532.0,161.57
Aire neutral,29.84,41.66,42949532.0,160.8
Aire neutral,29.85,41.67,42949532.0,162.02
Aire neutral,29.85,41.65,42949532.0,161.41
Aire neutral,29.84,41.65,42949532.0,161.72
Aire neutral,29.81,41.64,42949532.0,161.87
Aire neutral,29.81,41.65,42949532.0,161.72
Aire neutral,29.82,41.67,42949532.0,161.72
Aire neutral,29.81,41.67,42949532.0,162.18
Aire neutral,29.79,41.68,42949532.0,161.87
Aire neutral,29.77,41.69,42949532.0,161.87
Aire neutral,29.76,41.72,42949532.0,162.02
Aire neutral,29.75,41.73,42949532.0,161.11
Aire neutral,29.75,41.74,42949532.0,162.02
Aire neutral,29.73,41.76,42949532.0,161.72
Aire neutral,29.72,41.78,42949532.0,161.57
Aire neutral,29.71,41.8,42949532.0,161.87
Aire neutral,29.7,41.82,42949532.0,162.49
Aire neutral,29.69,41.85,42949532.0,161.87
Aire neutral,29.7,41.87,42949532.0,161.57
Aire neutral,29.71,41.88,42949532.0,161.57
Aire neutral,29.72,41.89,42949532.0,162.18
Aire neutral,29.73,41.9,42949532.0,161.87
Aire neutral,29.74,41.88,42949532.0,162.33
Aire neutral,29.75,41.87,42949532.0,161.41
Aire neutral,29.77,41.86,42949532.0,161.72
Aire neutral,29.78,41.86,42949532.0,161.87
Aire neutral,29.8,41.84,42949532.0,162.18
Aire neutral,29.81,41.82,42949532.0,160.96
Aire neutral,29.83,41.8,42949532.0,161.57
Aire neutral,29.85,41.78,42949532.0,160.65
Aire neutral,29.87,41.75,42949532.0,161.11
Aire neutral,29.89,41.71,42949532.0,160.65
Aire neutral,29.91,41.67,42949532.0,161.26
Aire neutral,29.93,41.64,42949532.0,161.11
Aire neutral,29.94,41.61,42949532.0,161.11
Aire neutral,29.95,41.57,42949532.0,161.57
Aire neutral,29.96,41.54,42949532.0,163.27
Aire neutral,29.97,41.53,42949532.0,160.65
Aire neutral,29.98,41.5,42949532.0,160.96
Aire neutral,29.99,41.48,42949532.0,160.96
Aire neutral,30.0,41.47,42949532.0,162.8
Aire neutral,30.01,41.43,42949532.0,161.11
Aire neutral,30.02,41.42,42949532.0,160.35
Aire neutral,30.03,41.4,42949532.0,160.65
Aire neutral,30.04,41.35,42949532.0,160.96
Aire neutral,30.06,41.32,42949532.0,161.87
Aire neutral,30.07,41.3,42949532.0,160.8
Aire neutral,30.08,41.28,42949532.0,160.05
Aire neutral,30.09,41.26,42949532.0,160.35
Aire neutral,30.1,41.25,42949532.0,160.96
Aire neutral,30.11,41.23,42949532.0,159.75
Aire neutral,30.12,41.22,42949532.0,160.35
Aire neutral,30.13,41.19,42949532.0,161.41
Aire neutral,30.14,41.18,42949532.0,159.9
Aire neutral,30.15,41.16,42949532.0,160.5
Aire neutral,30.16,41.14,42949532.0,163.27
Aire neutral,30.17,41.12,42949532.0,162.33
Aire neutral,30.17,41.09,42949532.0,160.2
Aire neutral,30.18,41.07,42949532.0,159.9
Aire neutral,30.19,41.06,42949532.0,161.72
Aire neutral,30.2,41.04,42949532.0,161.57
Aire neutral,30.22,41.02,42949532.0,159.45
Aire neutral,30.23,41.0,42949532.0,161.26
Aire neutral,30.23,40.98,42949532.0,159.75
Aire neutral,30.23,40.96,42949532.0,159.15
Aire neutral,30.24,40.93,42949532.0,161.41
Aire neutral,30.25,40.93,42949532.0,160.5
Aire neutral,30.25,40.9,42949532.0,159.6
Aire neutral,30.25,40.91,42949532.0,159.15
Aire neutral,30.25,40.89,42949532.0,159.01
Aire neutral,30.26,40.88,42949532.0,160.35
Aire neutral,30.26,40.88,42949532.0,160.05
Aire neutral,30.26,40.86,42949532.0,159.15
Aire neutral,30.25,40.85,42949532.0,159.01
Aire neutral,30.23,40.85,42949532.0,159.3
Aire neutral,30.22,40.86,42949532.0,160.2
Aire neutral,30.22,40.87,42949532.0,161.57
Aire neutral,30.21,40.87,42949532.0,160.8
Aire neutral,30.2,40.86,42949532.0,159.6
Aire neutral,30.2,40.87,42949532.0,159.75
Aire neutral,30.19,40.86,42949532.0,159.6
Aire neutral,30.19,40.87,42949532.0,159.45
Aire neutral,30.18,40.86,42949532.0,159.6
Aire neutral,30.17,40.88,42949532.0,159.6
Aire neutral,30.17,40.89,42949532.0,159.9
Aire neutral,30.17,40.89,42949532.0,161.72
Aire neutral,30.16,40.91,42949532.0,161.72
Aire neutral,30.16,40.91,42949532.0,160.8
Aire neutral,30.15,40.92,42949532.0,161.72
Aire neutral,30.15,40.94,42949532.0,159.9
Aire neutral,30.15,40.93,42949532.0,159.9
Aire neutral,30.15,40.95,42949532.0,159.9
Aire neutral,30.15,40.96,42949532.0,160.05
Aire neutral,30.14,40.95,42949532.0,160.65
Aire neutral,30.14,40.96,42949532.0,161.11
Aire neutral,30.14,40.97,42949532.0,162.18
Aire neutral,30.14,40.96,42949532.0,160.05
Aire neutral,30.14,40.98,42949532.0,160.2
Aire neutral,30.13,40.97,42949532.0,159.9
Aire neutral,30.13,40.98,42949532.0,160.2
Aire neutral,30.12,40.99,42949532.0,160.2
Aire neutral,30.12,41.0,42949532.0,160.05
Aire neutral,30.13,41.0,42949532.0,161.87
Aire neutral,30.13,41.02,42949532.0,159.9
Aire neutral,30.14,41.01,42949532.0,162.18
Aire neutral,30.14,41.01,42949532.0,161.57
Aire neutral,30.13,41.0,42949532.0,160.05
Aire neutral,30.13,40.99,42949532.0,160.35
Aire neutral,30.12,40.98,42949532.0,160.35
Aire neutral,30.11,40.98,42949532.0,160.96
Aire neutral,30.09,40.99,42949532.0,160.35
Aire neutral,30.08,41.03,42949532.0,162.49
Aire neutral,30.06,41.04,42949532.0,160.65
Aire neutral,30.05,41.07,42949532.0,161.11
Aire neutral,30.03,41.08,42949532.0,161.26
Aire neutral,30.02,41.09,42949532.0,161.26
Aire neutral,30.01,41.1,42949532.0,160.8
Aire neutral,29.99,41.12,42949532.0,161.26
Aire neutral,29.99,41.15,42949532.0,161.26
Aire neutral,29.98,41.14,42949532.0,164.52
Aire neutral,29.97,41.15,42949532.0,161.11
Aire neutral,29.96,41.14,42949532.0,161.57
Aire neutral,29.96,41.16,42949532.0,161.26
Aire neutral,29.96,41.17,42949532.0,161.26
Aire neutral,29.95,41.18,42949532.0,161.57
Aire neutral,29.95,41.2,42949532.0,161.41
Aire neutral,29.95,41.23,42949532.0,162.64
Aire neutral,29.96,41.27,42949532.0,160.8
Aire neutral,29.96,41.28,42949532.0,161.87
Aire neutral,29.97,41.3,42949532.0,161.57
Aire neutral,29.98,41.3,42949532.0,161.11
Aire neutral,29.98,41.32,42949532.0,163.42
Aire neutral,29.98,41.33,42949532.0,161.26
Aire neutral,29.98,41.35,42949532.0,161.41
Aire neutral,29.98,41.36,42949532.0,161.11
Aire neutral,29.97,41.37,42949532.0,162.49
Aire neutral,29.97,41.4,42949532.0,161.41
Aire neutral,29.96,41.44,42949532.0,160.96
Aire neutral,29.95,41.46,42949532.0,161.72
Aire neutral,29.94,41.48,42949532.0,161.41
Aire neutral,29.93,41.47,42949532.0,161.72
Aire neutral,29.91,41.5,42949532.0,160.96
Aire neutral,29.9,41.52,42949532.0,160.96
Aire neutral,29.88,41.52,42949532.0,161.11
Aire neutral,29.87,41.55,42949532.0,161.87
Aire neutral,29.85,41.56,42949532.0,160.65
Aire neutral,29.84,41.58,42949532.0,161.26
Aire neutral,29.83,41.61,42949532.0,162.02
Aire neutral,29.81,41.64,42949532.0,161.41
Aire neutral,29.8,41.67,42949532.0,161.87
Aire neutral,29.79,41.71,42949532.0,160.65
Aire neutral,29.78,41.74,42949532.0,161.57
Aire neutral,29.77,41.78,42949532.0,160.65
Aire neutral,29.76,41.83,42949532.0,160.96
Aire neutral,29.76,41.86,42949532.0,161.11
Aire neutral,29.76,41.88,42949532.0,161.41
Aire neutral,29.76,41.9,42949532.0,161.11
Aire neutral,29.76,41.91,42949532.0,161.72
Aire neutral,29.76,41.92,42949532.0,161.11
Aire neutral,29.76,41.94,42949532.0,161.26
Aire neutral,29.77,41.92,42949532.0,161.11
Aire neutral,29.76,41.95,42949532.0,160.8
Aire neutral,29.76,41.99,42949532.0,161.41
Aire neutral,29.76,42.01,42949532.0,161.26
Aire neutral,29.76,42.03,42949532.0,160.8
Aire neutral,29.76,42.03,42949532.0,160.96
Aire neutral,29.76,42.05,42949532.0,161.11
Aire neutral,29.77,42.05,42949532.0,160.8
Aire neutral,29.77,42.06,42949532.0,161.11
Aire neutral,29.76,42.06,42949532.0,161.11
Aire neutral,29.75,42.05,42949532.0,161.26
Aire neutral,29.74,42.04,42949532.0,160.96
Aire neutral,29.73,42.06,42949532.0,161.11
Aire neutral,29.72,42.08,42949532.0,161.72
Aire neutral,29.71,42.08,42949532.0,161.41
Aire neutral,29.69,42.1,42949532.0,161.11
Aire neutral,29.69,42.14,42949532.0,160.8
Aire neutral,29.68,42.16,42949532.0,161.72
Aire neutral,29.67,42.15,42949532.0,161.11
Aire neutral,29.66,42.14,42949532.0,162.33
Aire neutral,29.65,42.14,42949532.0,161.87
Aire neutral,29.63,42.18,42949532.0,161.87
Aire neutral,29.62,42.22,42949532.0,161.87
Aire neutral,29.61,42.28,42949532.0,162.33
Aire neutral,29.59,42.32,42949532.0,161.57
Aire neutral,29.57,42.36,42949532.0,161.26
Aire neutral,29.56,42.42,42949532.0,161.41
Aire neutral,29.55,42.46,42949532.0,161.26
Aire neutral,29.54,42.49,42949532.0,161.57
Aire neutral,29.52,42.54,42949532.0,161.41
Aire neutral,29.51,42.58,42949532.0,162.02
Aire neutral,29.5,42.64,42949532.0,161.11
Aire neutral,29.49,42.67,42949532.0,161.26
Aire neutral,29.48,42.71,42949532.0,161.11
Aire neutral,29.47,42.74,42949532.0,161.11
Aire neutral,29.46,42.78,42949532.0,161.11
Aire neutral,29.45,42.8,42949532.0,161.72
Aire neutral,29.44,42.85,42949532.0,161.57
Aire neutral,29.43,42.88,42949532.0,161.87
Aire neutral,29.42,42.92,42949532.0,161.41
Aire neutral,29.42,42.96,42949532.0,161.26
Aire neutral,29.41,43.01,42949532.0,160.8
Aire neutral,29.41,43.03,42949532.0,160.8
Aire neutral,29.41,43.06,42949532.0,161.26
Aire neutral,29.41,43.08,42949532.0,161.26
Aire neutral,29.41,43.11,42949532.0,161.41
Aire neutral,29.4,43.13,42949532.0,161.11
Aire neutral,29.4,43.13,42949532.0,161.41
Aire neutral,29.4,43.16,42949532.0,161.26
Aire neutral,29.4,43.18,42949532.0,161.41
Aire neutral,29.39,43.18,42949532.0,161.72
Aire neutral,29.39,43.18,42949532.0,160.65
Aire neutral,29.39,43.18,42949532.0,160.96
Aire neutral,29.38,43.19,42949532.0,161.26
Aire neutral,29.38,43.21,42949532.0,161.11
Aire neutral,29.37,43.22,42949532.0,161.26
Aire neutral,29.37,43.23,42949532.0,161.41
Aire neutral,29.36,43.26,42949532.0,160.8
Aire neutral,29.36,43.26,42949532.0,161.57
Aire neutral,29.35,43.28,42949532.0,160.96
Aire neutral,29.35,43.31,42949532.0,161.11
Aire neutral,29.35,43.32,42949532.0,161.57
Aire neutral,29.34,43.34,42949532.0,161.26
Aire neutral,29.33,43.34,42949532.0,162.02
Aire neutral,29.33,43.37,42949532.0,161.41
Aire neutral,29.32,43.39,42949532.0,161.11
Aire neutral,29.32,43.39,42949532.0,160.8
Aire neutral,29.31,43.42,42949532.0,162.49
Aire neutral,29.31,43.42,42949532.0,161.87
Aire neutral,29.31,43.44,42949532.0,161.41
Aire neutral,29.31,43.44,42949532.0,161.87
Aire neutral,29.31,43.47,42949532.0,160.96
Aire neutral,29.31,43.47,42949532.0,161.26
Aire neutral,29.32,43.46,42949532.0,162.02
Aire neutral,29.32,43.47,42949532.0,162.02
Aire neutral,29.33,43.49,42949532.0,161.87
Aire neutral,29.34,43.47,42949532.0,161.41
Aire neutral,29.35,43.46,42949532.0,161.57
Aire neutral,29.35,43.47,42949532.0,161.57
Aire neutral,29.36,43.45,42949532.0,162.18
Aire neutral,29.38,43.44,42949532.0,161.87
Aire neutral,29.39,43.41,42949532.0,162.18
Aire neutral,29.4,43.38,42949532.0,161.57
Aire neutral,29.42,43.36,42949532.0,161.57
Aire neutral,29.42,43.34,42949532.0,161.57
Aire neutral,29.43,43.31,42949532.0,161.72
Aire neutral,29.43,43.29,42949532.0,162.02
Aire neutral,29.43,43.3,42949532.0,162.02
Aire neutral,29.43,43.29,42949532.0,162.18
Aire neutral,29.43,43.3,42949532.0,162.02
Aire neutral,29.42,43.29,42949532.0,162.33
Aire neutral,29.41,43.29,42949532.0,162.33
Aire neutral,29.41,43.29,42949532.0,162.49
Aire neutral,29.4,43.29,42949532.0,162.64
Aire neutral,29.39,43.28,42949532.0,162.18
Aire neutral,29.39,43.3,42949532.0,162.18
Aire neutral,29.39,43.3,42949532.0,162.02
Aire neutral,29.4,43.3,42949532.0,161.87
Aire neutral,29.4,43.31,42949532.0,161.87
Aire neutral,29.4,43.32,42949532.0,162.18
Aire neutral,29.41,43.32,42949532.0,161.57
Aire neutral,29.42,43.31,42949532.0,161.26
Aire neutral,29.43,43.31,42949532.0,162.18
Aire neutral,29.44,43.29,42949532.0,162.02
Aire neutral,29.46,43.28,42949532.0,161.72
Aire neutral,29.47,43.26,42949532.0,162.49
Aire neutral,29.47,43.23,42949532.0,162.02
Aire neutral,29.46,43.2,42949532.0,162.8
Aire neutral,29.46,43.16,42949532.0,162.02
Aire neutral,29.46,43.11,42949532.0,162.95
Aire neutral,29.45,43.11,42949532.0,162.8
Aire neutral,29.45,43.1,42949532.0,162.49
Aire neutral,29.44,43.09,42949532.0,162.49
Aire neutral,29.43,43.12,42949532.0,162.8
Aire neutral,29.42,43.15,42949532.0,162.64
Aire neutral,29.42,43.18,42949532.0,163.27
Aire neutral,29.41,43.19,42949532.0,163.27
Aire neutral,29.4,43.22,42949532.0,162.8
Aire neutral,29.39,43.21,42949532.0,162.8
Aire neutral,29.39,43.17,42949532.0,163.42
Aire neutral,29.38,43.13,42949532.0,162.8
Aire neutral,29.38,43.12,42949532.0,162.8
Aire neutral,29.38,43.11,42949532.0,162.33
Aire neutral,29.38,43.14,42949532.0,162.49
Aire neutral,29.38,43.18,42949532.0,163.11
Aire neutral,29.38,43.21,42949532.0,162.18
Aire neutral,29.39,43.25,42949532.0,163.11
Aire neutral,29.39,43.29,42949532.0,162.95
Aire neutral,29.38,43.32,42949532.0,162.02
Aire neutral,29.38,43.36,42949532.0,163.42
Aire neutral,29.38,43.36,42949532.0,162.8
Aire neutral,29.38,43.36,42949532.0,163.11
Aire neutral,29.37,43.37,42949532.0,162.95
Aire neutral,29.36,43.37,42949532.0,162.33
Aire neutral,29.35,43.38,42949532.0,163.11
Aire neutral,29.35,43.41,42949532.0,162.64
Aire neutral,29.34,43.43,42949532.0,162.95
Aire neutral,29.33,43.46,42949532.0,162.95
Aire neutral,29.33,43.48,42949532.0,162.95
Aire neutral,29.33,43.5,42949532.0,163.11
Aire neutral,29.32,43.47,42949532.0,162.49
Aire neutral,29.31,43.41,42949532.0,163.11
Aire neutral,29.3,43.38,42949532.0,163.27
Aire neutral,29.28,43.39,42949532.0,163.11
Aire neutral,29.27,43.42,42949532.0,162.8
Aire neutral,29.26,43.44,42949532.0,163.74
Aire neutral,29.26,43.47,42949532.0,163.27
Aire neutral,29.25,43.48,42949532.0,163.27
Aire neutral,29.24,43.45,42949532.0,163.58
Aire neutral,29.24,43.43,42949532.0,163.42
Aire neutral,29.23,43.44,42949532.0,164.52
Aire neutral,29.23,43.49,42949532.0,163.11
Aire neutral,29.22,43.51,42949532.0,163.42
Aire neutral,29.22,43.55,42949532.0,163.27
Aire neutral,29.21,43.56,42949532.0,163.11
Aire neutral,29.21,43.58,42949532.0,163.42
Aire neutral,29.21,43.61,42949532.0,163.11
Aire neutral,29.21,43.63,42949532.0,162.95
Aire neutral,29.21,43.66,42949532.0,163.58
Aire neutral,29.21,43.68,42949532.0,163.27
Aire neutral,29.22,43.7,42949532.0,163.42
Aire neutral,29.22,43.71,42949532.0,163.74
Aire neutral,29.23,43.73,42949532.0,162.64
Aire neutral,29.24,43.71,42949532.0,162.95
Aire neutral,29.25,43.72,42949532.0,163.58
Aire neutral,29.26,43.72,42949532.0,163.11
Aire neutral,29.26,43.71,42949532.0,162.33
Aire neutral,29.27,43.71,42949532.0,162.64
Aire neutral,29.28,43.71,42949532.0,163.42
Aire neutral,29.29,43.7,42949532.0,163.11
Aire neutral,29.3,43.68,42949532.0,163.11
Aire neutral,29.31,43.68,42949532.0,162.49
Aire neutral,29.32,43.67,42949532.0,163.11
Aire neutral,29.33,43.63,42949532.0,163.11
Aire neutral,29.34,43.63,42949532.0,162.33
Aire neutral,29.36,43.61,42949532.0,162.49
Aire neutral,29.38,43.58,42949532.0,162.64
Aire neutral,29.39,43.58,42949532.0,162.8
Aire neutral,29.41,43.54,42949532.0,162.49
Aire neutral,29.43,43.5,42949532.0,162.49
Aire neutral,29.43,43.47,42949532.0,162.8
Aire neutral,29.44,43.46,42949532.0,162.49
Aire neutral,29.45,43.42,42949532.0,162.8
Aire neutral,29.47,43.37,42949532.0,162.18
Aire neutral,29.48,43.3,42949532.0,162.18
Aire neutral,29.5,43.25,42949532.0,162.49
Aire neutral,29.53,43.22,42949532.0,162.49
Aire neutral,29.56,43.18,42949532.0,162.02
Aire neutral,29.59,43.15,42949532.0,161.72
Aire neutral,29.61,43.12,42949532.0,162.02
Aire neutral,29.63,43.05,42949532.0,161.87
Aire neutral,29.64,43.01,42949532.0,161.72
Aire neutral,29.65,42.97,42949532.0,161.57
Aire neutral,29.67,42.91,42949532.0,161.57
Aire neutral,29.69,42.87,42949532.0,161.41
Aire neutral,29.7,42.82,42949532.0,161.87
Aire neutral,29.71,42.78,42949532.0,162.18
Aire neutral,29.71,42.75,42949532.0,162.02
Aire neutral,29.73,42.74,42949532.0,162.02
Aire neutral,29.75,42.73,42949532.0,162.18
Aire neutral,29.77,42.71,42949532.0,161.72
Aire neutral,29.77,42.71,42949532.0,161.87
Aire neutral,29.77,42.69,42949532.0,161.57
Aire neutral,29.77,42.69,42949532.0,162.02
Aire neutral,29.77,42.7,42949532.0,160.96
Aire neutral,29.77,42.72,42949532.0,160.96
Aire neutral,29.77,42.73,42949532.0,161.26
Aire neutral,29.79,42.74,42949532.0,161.41
Aire neutral,29.8,42.73,42949532.0,161.41
Aire neutral,29.8,42.71,42949532.0,161.11
Aire neutral,29.79,42.66,42949532.0,161.87
Aire neutral,29.78,42.61,42949532.0,161.41
Aire neutral,29.77,42.58,42949532.0,161.72
Aire neutral,29.76,42.54,42949532.0,161.41
Aire neutral,29.74,42.53,42949532.0,162.18
Aire neutral,29.73,42.55,42949532.0,161.41
Aire neutral,29.72,42.56,42949532.0,162.02
Aire neutral,29.7,42.57,42949532.0,161.87
Aire neutral,29.69,42.6,42949532.0,161.57
Aire neutral,29.68,42.66,42949532.0,162.18
Aire neutral,29.67,42.68,42949532.0,162.02
Aire neutral,29.66,42.68,42949532.0,161.87
Aire neutral,29.65,42.73,42949532.0,162.18
Aire neutral,29.64,42.74,42949532.0,161.41
Aire neutral,29.63,42.77,42949532.0,162.49
Aire neutral,29.62,42.77,42949532.0,162.18
Aire neutral,29.61,42.8,42949532.0,162.33
Aire neutral,29.6,42.82,42949532.0,161.87
Aire neutral,29.59,42.85,42949532.0,161.72
Aire neutral,29.59,42.86,42949532.0,162.02
Aire neutral,29.58,42.9,42949532.0,162.02
Aire neutral,29.58,42.93,42949532.0,161.87
Aire neutral,29.58,42.96,42949532.0,162.02
Aire neutral,29.58,42.99,42949532.0,161.72
Aire neutral,29.58,43.03,42949532.0,162.02
Aire neutral,29.57,43.07,42949532.0,162.18
Aire neutral,29.56,43.1,42949532.0,161.72
Aire neutral,29.56,43.13,42949532.0,161.11
Aire neutral,29.55,43.17,42949532.0,162.33
Aire neutral,29.54,43.2,42949532.0,161.41
Aire neutral,29.54,43.23,42949532.0,161.26
Aire neutral,29.54,43.24,42949532.0,161.11
Aire neutral,29.54,43.25,42949532.0,161.72
Aire neutral,29.54,43.27,42949532.0,160.96
Aire neutral,29.55,43.28,42949532.0,161.26
Aire neutral,29.55,43.28,42949532.0,161.11
Aire neutral,29.56,43.29,42949532.0,160.8
Aire neutral,29.56,43.28,42949532.0,160.96
Aire neutral,29.56,43.27,42949532.0,161.41
Aire neutral,29.55,43.29,42949532.0,161.11
Aire neutral,29.55,43.29,42949532.0,160.96
Aire neutral,29.55,43.29,42949532.0,160.96
Aire neutral,29.55,43.28,42949532.0,160.96
Aire neutral,29.54,43.3,42949532.0,161.26
Aire neutral,29.53,43.31,42949532.0,161.57
Aire neutral,29.52,43.32,42949532.0,161.11
Aire neutral,29.51,43.34,42949532.0,160.96
Aire neutral,29.5,43.38,42949532.0,160.96
Aire neutral,29.49,43.39,42949532.0,160.96
Aire neutral,29.48,43.42,42949532.0,160.65
Aire neutral,29.48,43.42,42949532.0,161.57
Aire neutral,29.47,43.41,42949532.0,161.26
Aire neutral,29.47,43.4,42949532.0,160.96
Aire neutral,29.47,43.4,42949532.0,161.72
Aire neutral,29.47,43.39,42949532.0,161.11
Aire neutral,29.47,43.38,42949532.0,161.26
Aire neutral,29.47,43.4,42949532.0,161.87
Aire neutral,29.47,43.44,42949532.0,160.96
Aire neutral,29.48,43.45,42949532.0,161.57
Aire neutral,29.48,43.45,42949532.0,161.26
Aire neutral,29.48,43.46,42949532.0,160.8
Aire neutral,29.47,43.49,42949532.0,160.96
Aire neutral,29.47,43.49,42949532.0,162.02
Aire neutral,29.47,43.49,42949532.0,160.8
Aire neutral,29.47,43.5,42949532.0,161.11
Aire neutral,29.48,43.5,42949532.0,161.72
Aire neutral,29.48,43.49,42949532.0,161.57
Aire neutral,29.49,43.48,42949532.0,161.26
Aire neutral,29.5,43.49,42949532.0,161.41
Aire neutral,29.51,43.48,42949532.0,161.11
Aire neutral,29.52,43.47,42949532.0,161.41
Aire neutral,29.54,43.46,42949532.0,161.72
Aire neutral,29.55,43.43,42949532.0,160.65
Aire neutral,29.56,43.43,42949532.0,161.41
Aire neutral,29.56,43.41,42949532.0,160.8
Aire neutral,29.56,43.39,42949532.0,161.11
Aire neutral,29.56,43.37,42949532.0,161.57
Aire neutral,29.57,43.37,42949532.0,161.72
Aire neutral,29.57,43.34,42949532.0,160.8
Aire neutral,29.57,43.31,42949532.0,161.11
Aire neutral,29.57,43.32,42949532.0,161.26
Aire neutral,29.57,43.31,42949532.0,160.96
Aire neutral,29.57,43.3,42949532.0,160.96
Aire neutral,29.58,43.31,42949532.0,161.72
Aire neutral,29.58,43.3,42949532.0,161.26
Aire neutral,29.58,43.28,42949532.0,161.26
Aire neutral,29.58,43.28,42949532.0,161.11
Aire neutral,29.57,43.26,42949532.0,160.8
Aire neutral,29.56,43.26,42949532.0,160.96
Aire neutral,29.55,43.27,42949532.0,161.26
Aire neutral,29.55,43.28,42949532.0,160.96
Aire neutral,29.55,43.27,42949532.0,161.11
Aire neutral,29.54,43.3,42949532.0,161.11
Aire neutral,29.55,43.28,42949532.0,161.11
